distance to pad,"first pad(Gtype,GIndex,GSection,Label)","second pad(Gtype,GIndex,GSection,Label)"
469.57362694789566,[['RowPad' '1' 'A' 'B09-']],[['RowPad' '1' 'A' 'T09+']]
425.79300109795344,[['RowPad' '1' 'A' 'T09+']],[['RowPad' '1' 'A' 'T09-']]
64854.97248028798,[['RowPad' '1' 'A' 'T09-']],[['ColumnPad' '9' 'A' 'R01+']]
425.7933771208754,[['ColumnPad' '9' 'A' 'R01+']],[['ColumnPad' '9' 'A' 'R01-']]
469.5742752749558,[['ColumnPad' '9' 'A' 'R01-']],[['ColumnPad' '9' 'A' 'L01+']]
425.7933771208754,[['ColumnPad' '9' 'A' 'L01+']],[['ColumnPad' '9' 'A' 'L01-']]
64730.26917218775,[['ColumnPad' '9' 'A' 'L01-']],[['RowPad' '1' 'A' 'B09+']]
425.79300109795344,[['RowPad' '3' 'A' 'B10+']],[['RowPad' '3' 'A' 'B10-']]
469.5736269478942,[['RowPad' '3' 'A' 'B10-']],[['RowPad' '3' 'A' 'T10+']]
425.7923655269099,[['RowPad' '3' 'A' 'T10+']],[['RowPad' '3' 'A' 'T10-']]
51105.1728798729,[['RowPad' '3' 'A' 'T10-']],[['ColumnPad' '10' 'A' 'R03+']]
425.7933771208754,[['ColumnPad' '10' 'A' 'R03+']],[['ColumnPad' '10' 'A' 'R03-']]
469.5742752749558,[['ColumnPad' '10' 'A' 'R03-']],[['ColumnPad' '10' 'A' 'L03+']]
425.7933771208754,[['ColumnPad' '10' 'A' 'L03+']],[['ColumnPad' '10' 'A' 'L03-']]
50958.467495937875,[['ColumnPad' '10' 'A' 'L03-']],[['RowPad' '3' 'A' 'B10+']]
425.79300109795344,[['RowPad' '5' 'A' 'B11+']],[['RowPad' '5' 'A' 'B11-']]
469.5744614605869,[['RowPad' '5' 'A' 'B11-']],[['RowPad' '5' 'A' 'T11+']]
425.79300109795344,[['RowPad' '5' 'A' 'T11+']],[['RowPad' '5' 'A' 'T11-']]
37445.11207868531,[['RowPad' '5' 'A' 'T11-']],[['ColumnPad' '11' 'A' 'R05+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'R05+']],[['ColumnPad' '11' 'A' 'R05-']]
469.5742752749558,[['ColumnPad' '11' 'A' 'R05-']],[['ColumnPad' '11' 'A' 'L05+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'L05+']],[['ColumnPad' '11' 'A' 'L05-']]
37260.56299450266,[['ColumnPad' '11' 'A' 'L05-']],[['RowPad' '5' 'A' 'B11+']]
425.7933771208754,[['RowPad' '11' 'C' 'B06+']],[['RowPad' '11' 'C' 'B06-']]
469.5742752749558,[['RowPad' '11' 'C' 'B06-']],[['RowPad' '11' 'C' 'T06+']]
425.7933771208754,[['RowPad' '11' 'C' 'T06+']],[['RowPad' '11' 'C' 'T06-']]
