distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
140.0,RowPad,1,A,B11-,-57179.978,7239.935,-60927.886,8438.303,RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546
58111.797,RowPad,1,A,B11-,-57179.978,7239.935,-60927.886,8438.303,ColumnPad,11,A,R01+,-57179.978,7239.935,-29633.842,57404.248
57720.444,RowPad,1,A,B11-,-57179.978,7239.935,-60927.886,8438.303,ColumnPad,11,A,R01-,-57179.978,7239.935,-29703.842,56984.248
58187.309,RowPad,1,A,B11-,-57179.978,7239.935,-60927.886,8438.303,ColumnPad,11,A,L01+,-57179.978,7239.935,-29493.842,57404.248
57796.298,RowPad,1,A,B11-,-57179.978,7239.935,-60927.886,8438.303,ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248
425.793,RowPad,1,A,T11+,-57179.978,7239.935,-61186.616,8830.168,RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546
57922.524,RowPad,1,A,T11+,-57179.978,7239.935,-61186.616,8830.168,ColumnPad,11,A,R01+,-57179.978,7239.935,-29633.842,57404.248
57532.43,RowPad,1,A,T11+,-57179.978,7239.935,-61186.616,8830.168,ColumnPad,11,A,R01-,-57179.978,7239.935,-29703.842,56984.248
57998.907,RowPad,1,A,T11+,-57179.978,7239.935,-61186.616,8830.168,ColumnPad,11,A,L01+,-57179.978,7239.935,-29493.842,57404.248
57609.159,RowPad,1,A,T11+,-57179.978,7239.935,-61186.616,8830.168,ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248
57971.94,RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546,ColumnPad,11,A,R01+,-57179.978,7239.935,-29633.842,57404.248
57580.606,RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546,ColumnPad,11,A,R01-,-57179.978,7239.935,-29703.842,56984.248
58047.465,RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546,ColumnPad,11,A,L01+,-57179.978,7239.935,-29493.842,57404.248
57656.474,RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546,ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248
425.793,ColumnPad,11,A,R01+,-57179.978,7239.935,-29633.842,57404.248,ColumnPad,11,A,R01-,-57179.978,7239.935,-29703.842,56984.248
140.0,ColumnPad,11,A,R01+,-57179.978,7239.935,-29633.842,57404.248,ColumnPad,11,A,L01+,-57179.978,7239.935,-29493.842,57404.248
425.793,ColumnPad,11,A,R01+,-57179.978,7239.935,-29633.842,57404.248,ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248
469.574,ColumnPad,11,A,R01-,-57179.978,7239.935,-29703.842,56984.248,ColumnPad,11,A,L01+,-57179.978,7239.935,-29493.842,57404.248
140.0,ColumnPad,11,A,R01-,-57179.978,7239.935,-29703.842,56984.248,ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248
425.793,ColumnPad,11,A,L01+,-57179.978,7239.935,-29493.842,57404.248,ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248
