pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
40404.366,RowPad,11,C,T05-,-46579.978,-25599.673,-28303.842,-56984.248,ColumnPad,5,C,R11+,-46579.978,-25599.673,-52196.616,-24401.305
425.793,ColumnPad,5,C,R11+,-46579.978,-25599.673,-52196.616,-24401.305,ColumnPad,5,C,R11-,-46579.978,-25599.673,-51797.886,-24251.927
469.574,ColumnPad,5,C,R11-,-46579.978,-25599.673,-51797.886,-24251.927,ColumnPad,5,C,L11+,-46579.978,-25599.673,-52266.616,-24280.061
425.793,ColumnPad,5,C,L11+,-46579.978,-25599.673,-52266.616,-24280.061,ColumnPad,5,C,L11-,-46579.978,-25599.673,-51867.886,-24130.683
40812.966,ColumnPad,5,C,L11-,-46579.978,-25599.673,-51867.886,-24130.683,RowPad,11,C,B05+,-46579.978,-25599.673,-28233.842,-57404.248
425.793,RowPad,10,C,B03+,-46579.978,-16419.804,-22373.842,-57404.248,RowPad,10,C,B03-,-46579.978,-16419.804,-22303.842,-56984.248
469.574,RowPad,10,C,B03-,-46579.978,-16419.804,-22303.842,-56984.248,RowPad,10,C,T03+,-46579.978,-16419.804,-22513.842,-57404.248
425.793,RowPad,10,C,T03+,-46579.978,-16419.804,-22513.842,-57404.248,RowPad,10,C,T03-,-46579.978,-16419.804,-22443.842,-56984.248
54247.942,RowPad,10,C,T03-,-46579.978,-16419.804,-22443.842,-56984.248,ColumnPad,3,C,R10+,-46579.978,-16419.804,-57356.616,-15463.923
425.793,ColumnPad,3,C,R10+,-46579.978,-16419.804,-57356.616,-15463.923,ColumnPad,3,C,R10-,-46579.978,-16419.804,-56957.886,-15314.545
469.574,ColumnPad,3,C,R10-,-46579.978,-16419.804,-56957.886,-15314.545,ColumnPad,3,C,L10+,-46579.978,-16419.804,-57426.616,-15342.679
425.793,ColumnPad,3,C,L10+,-46579.978,-16419.804,-57426.616,-15342.679,ColumnPad,3,C,L10-,-46579.978,-16419.804,-57027.886,-15193.301
54613.797,ColumnPad,3,C,L10-,-46579.978,-16419.804,-57027.886,-15193.301,RowPad,10,C,B03+,-46579.978,-16419.804,-22373.842,-57404.248
425.793,RowPad,9,C,B01+,-46579.978,-7239.935,-16513.842,-57404.248,RowPad,9,C,B01-,-46579.978,-7239.935,-16443.842,-56984.248
